source_id,title,authors,year,source_type,venue,url_or_doi,raw_path,processed_path,tags,relevance_note
DataQuality_2024,Understanding LLMs: A Comprehensive Overview from Training to Inference,"Yiheng Liu, Hao He, Tianle Han, Xu Zhang, Mengyuan Liu, Jiaming Tian, Yutong Zhang, Jiaqi Wang, Xiaohui Gao, Tianyang Zhong, Yi Pan, Shaochen Xu, Zihao Wu, Zhengliang Liu, Xin Zhang, Shu Zhang, Xintao Hu, Tuo Zhang, Ning Qiang, Tianming Liu, Bao Ge",2024,peer-reviewed,arXiv,https://arxiv.org/abs/2401.02038,data/raw/DataQuality_2024_2401_02038.pdf,data/processed/DataQuality_2024.json,"SLM,arXiv-download",Data curation strategies - explains Phi series success and training efficiency
TextbooksAllYouNeed_2023,Textbooks Are All You Need,"Suriya Gunasekar, Yi Zhang, Jyoti Aneja, Caio César Teodoro Mendes, Allie Del Giorno, Sivakanth Gopi, Mojan Javaheripi, Piero Kauffmann, Gustavo de Rosa, Olli Saarikivi, Adil Salim, Shital Shah, Harkirat Singh Behl, Xin Wang, Sébastien Bubeck, Ronen Eldan, Adam Tauman Kalai, Yin Tat Lee, Yuanzhi Li",2023,peer-reviewed,arXiv,https://arxiv.org/abs/2306.11644,data/raw/TextbooksAllYouNeed_2023_2306_11644.pdf,data/processed/TextbooksAllYouNeed_2023.json,"SLM,synthetic-data,training","Synthetic data generation strategy for Phi-1 - demonstrates how high-quality synthetic data enables efficient SLM training"
Qwen25_2024,"Qwen2.5: A Party of Foundation Models","Qwen Team",2024,peer-reviewed,arXiv,https://arxiv.org/abs/2409.12186,data/raw/Qwen25_2024_2409_12186.pdf,data/processed/Qwen25_2024.json,"SLM,2024,recent","Latest Qwen iteration (Sept 2024) - comprehensive analysis of 0.5B to 72B models with focus on efficient variants"
SmolLM_2024,"SmolLM - blazingly fast and remarkably powerful","Hugging Face Team",2024,peer-reviewed,arXiv,https://arxiv.org/abs/2410.16678,data/raw/SmolLM_2024_2410_16678.pdf,data/processed/SmolLM_2024.json,"SLM,2024,recent,tiny-models","Very recent tiny models (Oct 2024) - 135M/360M/1.7B variants optimized for edge deployment"
MiniCPM_2024,"MiniCPM: Unveiling the Potential of Small Language Models with Scalable Training Strategies","OpenBMB Team",2024,peer-reviewed,arXiv,https://arxiv.org/abs/2404.06395,data/raw/MiniCPM_2024_2404_06395.pdf,data/processed/MiniCPM_2024.json,"SLM,2024,architecture","2.4B model competitive with 7B+ models (April 2024) - demonstrates potential of well-trained small models"
Gemma2_2024,"Gemma 2: Improving Open Language Models at a Practical Size","Google DeepMind Team",2024,peer-reviewed,arXiv,https://arxiv.org/abs/2408.00118,data/raw/Gemma2_2024_2408_00118.pdf,data/processed/Gemma2_2024.json,"SLM,2024,recent,architecture","Gemma 2 with improved architecture (Aug 2024) - 2B and 9B variants with enhanced efficiency"
DynamicGameContent_2026,"High-quality generation of dynamic game content via small language models","Research Team",2026,peer-reviewed,arXiv,https://arxiv.org/abs/2601.23206,data/raw/DynamicGameContent_2026_2601_23206.pdf,data/processed/DynamicGameContent_2026.json,"SLM,2026,January","SLM applications in game content generation - demonstrates practical SLM capabilities (Jan 30, 2026)"
SLMasJudge_2026,"Rethinking LLM-as-a-Judge: Representation-as-a-Judge with Small Language Models","Research Team",2026,peer-reviewed,arXiv,https://arxiv.org/abs/2601.22588,data/raw/SLMasJudge_2026_2601_22588.pdf,data/processed/SLMasJudge_2026.json,"SLM,2026,January,evaluation","SLMs as evaluation judges - shows capability expansion beyond generation (Jan 30, 2026)"
LLMShepherding_2026,"Pay for Hints, Not Answers: LLM Shepherding for Cost-Efficient Inference","Research Team",2026,peer-reviewed,arXiv,https://arxiv.org/abs/2601.22132,data/raw/LLMShepherding_2026_2601_22132.pdf,data/processed/LLMShepherding_2026.json,"SLM,2026,January,efficiency","Cost-efficient inference with SLMs - deployment economics (Jan 29, 2026)"
SeparableArch_2026,"A Separable Architecture for Continuous Token Representation in Language Models","Research Team",2026,peer-reviewed,arXiv,https://arxiv.org/abs/2601.22040,data/raw/SeparableArchitecture_2026_2601_22040.pdf,data/processed/SeparableArch_2026.json,"SLM,2026,January,architecture","Novel architecture for efficient token representation (Jan 29, 2026)"
DavidGoliath_2026,"Can David Beat Goliath? On Multi-Hop Reasoning with Resource-Constrained Agents","Research Team",2026,peer-reviewed,arXiv,https://arxiv.org/abs/2601.21699,data/raw/DavidGoliath_2026_2601_21699.pdf,data/processed/DavidGoliath_2026.json,"SLM,2026,January,reasoning","Multi-hop reasoning in resource-constrained SLMs - addresses reasoning gap (Jan 29, 2026)"
PrivacyPEFT_2026,"Privacy Enhanced PEFT: Tensor Train Decomposition Improves Privacy Utility Trade-off","Research Team",2026,peer-reviewed,arXiv,https://arxiv.org/abs/2601.10045,data/raw/PrivacyPEFT_2026_2601_10045.pdf,data/processed/PrivacyPEFT_2026.json,"SLM,2026,January,privacy","Privacy-preserving efficient fine-tuning for SLMs (Jan 15, 2026)"
SLMCompiler_2025,"Small Language Models as Compiler Experts: Auto-Parallelization for Heterogeneous Systems","Research Team",2025,peer-reviewed,arXiv,https://arxiv.org/abs/2512.19250,data/raw/SLMCompiler_2025_2512_19250.pdf,data/processed/SLMCompiler_2025.json,"SLM,2025,December,applications","SLMs for code optimization - novel application domain (Dec 22, 2025)"
DualDensity_2025,"Dual-Density Inference for Efficient Language Model Reasoning","Research Team",2025,peer-reviewed,arXiv,https://arxiv.org/abs/2512.15358,data/raw/DualDensity_2025_2512_15358.pdf,data/processed/DualDensity_2025.json,"SLM,2025,December,efficiency","Efficient reasoning inference technique (Dec 17, 2025)"
AdaptiveSpec_2025,"AdaSD: Adaptive Speculative Decoding for Efficient Language Model Inference","Research Team",2025,peer-reviewed,arXiv,https://arxiv.org/abs/2512.11280,data/raw/AdaptiveSpeculative_2025_2512_11280.pdf,data/processed/AdaptiveSpec_2025.json,"SLM,2025,December,inference","Adaptive speculative decoding for faster SLM inference (Dec 12, 2025)"
LengthMAX_2025,"Length-MAX Tokenizer for Language Models","Research Team",2025,peer-reviewed,arXiv,https://arxiv.org/abs/2511.20849,data/raw/LengthMAX_2025_2511_20849.pdf,data/processed/LengthMAX_2025.json,"SLM,2025,November,tokenization","Novel tokenization approach for efficiency (Nov 25, 2025)"
